feature,coef,window,source
rv_5d,0.017896835527921533,4,rf
rv_22d,0.6170690293310095,4,rf
volume_z,0.019802494154701956,4,rf
log_range,0.3300470627311317,4,rf
overnight_gap,0.006139069008510487,4,rf
month_end,0.0007705280895220162,4,rf
rv_1d,0.00934937366568492,5,rf
rv_5d,0.02099023711477864,5,rf
rv_22d,0.5816175409064457,5,rf
volume_z,0.020020395524924482,5,rf
log_range,0.3597573395088988,5,rf
overnight_gap,0.007817759136915858,5,rf
month_end,0.00044735414235162356,5,rf
rv_1d,0.008640907431732785,6,rf
rv_5d,0.018600223794203886,6,rf
rv_22d,0.5748232579390392,6,rf
volume_z,0.02918812602483422,6,rf
log_range,0.3624358795586537,6,rf
overnight_gap,0.005847805262237235,6,rf
month_end,0.00046379998929898977,6,rf
rv_1d,0.00738353636194535,7,rf
rv_5d,0.019623970405795152,7,rf
rv_22d,0.626284216444024,7,rf
volume_z,0.0344472756615655,7,rf
log_range,0.30367873984271454,7,rf
overnight_gap,0.006753597562323092,7,rf
month_end,0.0018286637216324666,7,rf
rv_1d,0.005739067498283924,8,rf
rv_5d,0.0160049865489163,8,rf
rv_22d,0.5139796923038005,8,rf
volume_z,0.02902451621788083,8,rf
log_range,0.42319996839670043,8,rf
overnight_gap,0.009259361407884472,8,rf
month_end,0.002792407626533389,8,rf
rv_1d,0.007002064549003804,9,rf
rv_5d,0.021999507722727088,9,rf
rv_22d,0.3965803567621783,9,rf
volume_z,0.02479544659611404,9,rf
log_range,0.5384061890047396,9,rf
overnight_gap,0.008753201370852328,9,rf
month_end,0.0024632339943849437,9,rf
rv_1d,0.00891163737671849,10,rf
rv_5d,0.02734580423561573,10,rf
rv_22d,0.36774961512370724,10,rf
volume_z,0.024893107147856187,10,rf
log_range,0.5612292229971673,10,rf
overnight_gap,0.0063429059314162985,10,rf
month_end,0.003527707187518777,10,rf
rv_1d,0.006626571633968881,11,rf
rv_5d,0.02859641215945564,11,rf
rv_22d,0.41486992403682715,11,rf
volume_z,0.01913144014498783,11,rf
log_range,0.5206988366224208,11,rf
overnight_gap,0.006479065202310937,11,rf
month_end,0.0035977502000287855,11,rf
rv_1d,0.0027378033235286973,12,rf
rv_5d,0.5880093761860633,12,rf
rv_22d,0.15453760179973608,12,rf
volume_z,0.025537148610526413,12,rf
log_range,0.18302553577499234,12,rf
overnight_gap,0.03333225527606446,12,rf
month_end,0.012820279029088943,12,rf
rv_1d,0.0024041733155016278,13,rf
rv_5d,0.5810508779262462,13,rf
rv_22d,0.1520871987580447,13,rf
volume_z,0.024653251624118307,13,rf
log_range,0.1975154073842042,13,rf
overnight_gap,0.02967016946008036,13,rf
month_end,0.012618921531804533,13,rf
rv_1d,0.0026087785391719063,14,rf
rv_5d,0.5780782807449154,14,rf
rv_22d,0.15891443256012613,14,rf
volume_z,0.021754418429104052,14,rf
log_range,0.19886295121618633,14,rf
overnight_gap,0.028360473150147815,14,rf
month_end,0.011420665360348357,14,rf
rv_1d,0.003935133472385675,15,rf
rv_5d,0.5881670384114536,15,rf
rv_22d,0.1550549423551811,15,rf
volume_z,0.02609868354987035,15,rf
log_range,0.18870929337754302,15,rf
overnight_gap,0.028703296624392527,15,rf
month_end,0.009331612209173706,15,rf
rv_1d,0.0032790681284949634,16,rf
rv_5d,0.5836161104365475,16,rf
rv_22d,0.17026242358893062,16,rf
volume_z,0.021592219299587413,16,rf
log_range,0.18432491989258645,16,rf
overnight_gap,0.026881265506340585,16,rf
month_end,0.010043993147512429,16,rf
rv_1d,0.003230473809658175,17,rf
rv_5d,0.5853631165804162,17,rf
rv_22d,0.18082591815476842,17,rf
volume_z,0.019884147125000747,17,rf
log_range,0.1752622850611374,17,rf
overnight_gap,0.026748670532434057,17,rf
month_end,0.008685388736585115,17,rf
rv_1d,0.004559858921278387,18,rf
rv_5d,0.027288279671475242,18,rf
rv_22d,0.7061089939840849,18,rf
volume_z,0.011974192654319055,18,rf
log_range,0.2466169605513955,18,rf
overnight_gap,0.00173016084251772,18,rf
month_end,0.0017215533749292357,18,rf
rv_1d,0.006021841635496358,19,rf
rv_5d,0.020493902138428086,19,rf
rv_22d,0.7062530481314729,19,rf
volume_z,0.016049301576808013,19,rf
log_range,0.24674910311911147,19,rf
overnight_gap,0.003412866459596142,19,rf
month_end,0.0010199369390869882,19,rf
rv_1d,0.006682621397253505,20,rf
rv_5d,0.027516589792528492,20,rf
rv_22d,0.6857215424662547,20,rf
volume_z,0.020328853908103857,20,rf
log_range,0.2523831664272732,20,rf
overnight_gap,0.0033798058902385773,20,rf
month_end,0.003987420118347664,20,rf
rv_1d,0.0044694547733751715,21,rf
rv_5d,0.032731764072016195,21,rf
rv_22d,0.6780961877029145,21,rf
volume_z,0.021374653201667624,21,rf
log_range,0.2582964440893144,21,rf
overnight_gap,0.0027043497750646787,21,rf
month_end,0.0023271463856475104,21,rf
rv_1d,0.01792649132880971,22,rf
rv_5d,0.019586906625859525,22,rf
rv_22d,0.6102833152801789,22,rf
volume_z,0.029117999647922027,22,rf
log_range,0.300430812777949,22,rf
overnight_gap,0.018945305633428975,22,rf
month_end,0.0037091687058518675,22,rf
