window,train_start,train_end,test_start,test_end,model,rmse,mae,qlike,n
18,2020-08-10,2023-08-03,2023-08-11,2024-02-09,ridge,0.018366843998737052,0.012405120224674278,-5.6577174667226915,23814
18,2020-08-10,2023-08-03,2023-08-11,2024-02-09,rf,0.018154830415166967,0.012176634551508967,-5.659836092700563,23814
19,2021-02-09,2024-02-02,2024-02-12,2024-08-12,baseline,0.025591654433293042,0.015344922001437599,-5.336411135853054,23814
19,2021-02-09,2024-02-02,2024-02-12,2024-08-12,har,0.02336031651591649,0.013961788673260955,-5.433066536645143,23814
19,2021-02-09,2024-02-02,2024-02-12,2024-08-12,ridge,0.022961473397455443,0.01367017936115573,-5.461137977464192,23814
19,2021-02-09,2024-02-02,2024-02-12,2024-08-12,rf,0.022561890178689703,0.01325945706300537,-5.458152386577336,23814
20,2021-08-10,2024-08-05,2024-08-13,2025-02-12,baseline,0.02506047346747708,0.01623043977225806,-5.367286415783106,23814
20,2021-08-10,2024-08-05,2024-08-13,2025-02-12,har,0.021778148904539357,0.014268141316720967,-5.486816467516608,23814
20,2021-08-10,2024-08-05,2024-08-13,2025-02-12,ridge,0.02143400119159117,0.013946854106148723,-5.502094755428636,23814
20,2021-08-10,2024-08-05,2024-08-13,2025-02-12,rf,0.021053372486270382,0.013549927289797828,-5.506133976789029,23814
21,2022-02-08,2025-02-05,2025-02-13,2025-08-14,baseline,0.032545361177928084,0.021222575186404437,-4.931128037377356,23814
21,2022-02-08,2025-02-05,2025-02-13,2025-08-14,har,0.028922146003980572,0.017500422049599573,-4.9516851177525405,23814
21,2022-02-08,2025-02-05,2025-02-13,2025-08-14,ridge,0.027985517054510602,0.016954943044377387,-5.014550226939922,23814
21,2022-02-08,2025-02-05,2025-02-13,2025-08-14,rf,0.028103840275306026,0.016914271290189947,-5.0089920057635835,23814
22,2022-08-10,2025-08-07,2025-08-15,2026-02-13,baseline,0.025564414922745828,0.016007391039810515,-5.223777678779723,23814
22,2022-08-10,2025-08-07,2025-08-15,2026-02-13,har,0.02327345855667007,0.014507535402757205,-5.28842651357261,23814
22,2022-08-10,2025-08-07,2025-08-15,2026-02-13,ridge,0.022958111332393904,0.014425038253833747,-5.327874612419192,23814
22,2022-08-10,2025-08-07,2025-08-15,2026-02-13,rf,0.022834728400436793,0.014265925063731054,-5.322285611777104,23814
