model,rmse,mae,qlike,n,ticker
har,0.021008877913330854,0.013740589986220622,-5.394886259737189,2772,BAC
ridge,0.02065897869007758,0.013469304428216235,-5.402489961782469,2772,BAC
rf,0.021375696104982085,0.013759146464717478,-5.3920275727286215,2772,BAC
baseline,0.026069507340960647,0.016755845415705465,-5.399667849661814,2772,BAX
har,0.023519259985995567,0.014382755534353,-5.484157237375171,2772,BAX
ridge,0.023124630003786388,0.014146196077157688,-5.509969201032676,2772,BAX
rf,0.02289631368716192,0.013964165497215146,-5.526773667407007,2772,BAX
baseline,0.019023345964921026,0.012313330279374946,-5.721306300371323,2772,BDX
har,0.017314630485959683,0.011344914304039286,-5.90344286138499,2772,BDX
ridge,0.016993779129866333,0.011148661115667938,-5.908297993789248,2772,BDX
rf,0.016913638525314932,0.01094363033036274,-5.9024585450241815,2772,BDX
baseline,0.04781332067702483,0.024871440741013325,-4.191191191182795,2772,BIIB
har,0.04057470924458144,0.019567569183162523,-4.071989353760044,2772,BIIB
ridge,0.03978998787448022,0.019160727722216754,-4.1429590698704475,2772,BIIB
rf,0.038518461968278676,0.01822758142952517,-4.238381028178043,2772,BIIB
baseline,0.025648499210767676,0.01790977196538335,-5.033840315859358,2772,BKNG
har,0.023006025960385586,0.015291850688850818,-5.173248219826609,2772,BKNG
ridge,0.022175487155171314,0.014606282678525578,-5.223880051244585,2772,BKNG
rf,0.022388143297169857,0.014604616789455656,-5.226837326145929,2772,BKNG
baseline,0.019821660941125075,0.013292736588059031,-5.666707366665381,2772,BLK
har,0.018163350289713644,0.011898041665341098,-5.712444783534781,2772,BLK
ridge,0.017843333462751264,0.01166032569188994,-5.718433475033179,2772,BLK
rf,0.018340479312866316,0.011723689878406987,-5.720932971026134,2772,BLK
baseline,0.021420806658993857,0.014373475770181192,-5.449445731853623,2772,BMY
har,0.019001887115829452,0.01277556000227585,-5.5853640299430305,2772,BMY
ridge,0.01878362133852764,0.012672357330327238,-5.597550058098734,2772,BMY
rf,0.01862841553535572,0.012358116116670084,-5.586610060080875,2772,BMY
baseline,0.020844427476864113,0.014241439324269686,-5.505457400463236,2772,BSX
har,0.019540277114473734,0.013188659197802743,-5.575144693040239,2772,BSX
ridge,0.01921015184525799,0.012964653225914733,-5.597462637917633,2772,BSX
rf,0.019095908678015073,0.012807494841035489,-5.60919161826701,2772,BSX
baseline,0.02259661868960208,0.01497530148603208,-5.487454698469364,2772,CAG
har,0.020169793513039484,0.012753562284807759,-5.561606166474445,2772,CAG
